BurkeLab Nanostat Rev 3.5 Sweep
Index	Current_Amps	Voltage_V	Time_ms
144	-0.0585713387	0.1200000000	5741
145	0.0000000000	0.1250000000	5780
146	0.0599999428	0.1300000000	5819
147	0.1199998856	0.1350000000	5858
148	0.1785717010	0.1400000000	5897
149	0.2385711670	0.1450000000	5936
150	0.2985715866	0.1500000000	5975
151	0.3571429253	0.1550000000	6014
152	-1.1900005341	0.1600000000	6053
153	-1.1899995804	0.1650000000	6092
154	-1.1914286613	0.1700000000	6132
155	0.0000000000	0.1750000000	6171
156	0.0300006866	0.1800000000	6210
157	0.0585713387	0.1850000000	6249
158	0.0900001526	0.1900000000	6289
159	0.1185717583	0.1950000000	6328
160	0.1485714912	0.2000000000	6367
161	0.1785712242	0.2050000000	6406
162	0.2085719109	0.2100000000	6445
163	0.2371425629	0.2150000000	6485
164	0.2685718536	0.2200000000	6524
165	-0.8928570747	0.2250000000	6563
166	-0.8928575516	0.2300000000	6602
167	-0.8928570747	0.2350000000	6642
168	0.0528569221	0.2400000000	6680
169	0.0714287758	0.2450000000	6719
170	0.0885710716	0.2500000000	6758
171	0.1071429253	0.2550000000	6797
172	0.1242856979	0.2600000000	6836
173	0.1428570747	0.2650000000	6875
174	0.1599998474	0.2700000000	6914
175	0.1785712242	0.2750000000	6953
176	0.1957139969	0.2800000000	6992
177	0.2142858505	0.2850000000	7031
178	-0.7142858505	0.2900000000	7070
179	-0.7142858505	0.2950000000	7109
180	-0.7142858505	0.3000000000	7149
181	-0.7142853737	0.3050000000	7188
182	0.0842857361	0.3100000000	7227
183	0.0957140923	0.3150000000	7266
184	0.1071424484	0.3200000000	7305
185	0.1200003624	0.3250000000	7344
186	0.1314287186	0.3300000000	7383
187	0.1428570747	0.3350000000	7422
188	0.1557145119	0.3400000000	7462
189	0.1671423912	0.3450000000	7501
190	0.1785717010	0.3500000000	7540
191	0.1914286613	0.3550000000	7579
192	-0.5957145691	0.3600000000	7618
193	-0.5957140923	0.3650000000	7657
194	-0.5942854881	0.3700000000	7696
195	0.0842857361	0.3750000000	7735
196	0.0942854881	0.3800000000	7774
197	0.1028571129	0.3850000000	7813
198	0.1100001335	0.3900000000	7852
199	0.1200003624	0.3950000000	7891
200	0.1285715103	0.4000000000	7930
201	0.1357140541	0.4050000000	7969
202	0.1442861557	0.4100000000	8008
203	0.1542854309	0.4150000000	8047
204	0.1614284515	0.4200000000	8086
205	-0.5100002289	0.4250000000	8125
206	-0.5099997520	0.4300000000	8164
207	-0.5099997520	0.4350000000	8203
208	0.0828566551	0.4400000000	8242
209	0.0885715485	0.4450000000	8282
210	0.0957140923	0.4500000000	8321
211	0.1014285088	0.4550000000	8360
212	0.1085710526	0.4600000000	8399
213	0.1142864227	0.4650000000	8438
214	0.1214289665	0.4700000000	8477
215	0.1271429062	0.4750000000	8516
216	0.1328568459	0.4800000000	8555
217	0.1399998665	0.4850000000	8594
218	-0.4457139969	0.4900000000	8633
219	-0.4471430779	0.4950000000	8672
220	-0.4471426010	0.5000000000	8711
221	0.0800004005	0.5050000000	8750
222	0.0842857361	0.5100000000	8789
223	0.0885710716	0.5150000000	8828
224	0.0942854881	0.5200000000	8867
225	0.0999999046	0.5250000000	8906
226	0.1042857170	0.5300000000	8945
227	0.1085710526	0.5350000000	8985
228	0.1142854691	0.5400000000	9024
229	0.1200003624	0.5450000000	9063
230	0.1242852211	0.5500000000	9102
231	-0.3971428871	0.5550000000	9141
232	-0.3971428871	0.5600000000	9180
233	-0.3957142830	0.5650000000	9219
234	0.0742859840	0.5700000000	9258
235	0.0785713196	0.5750000000	9297
236	0.0828571320	0.5800000000	9336
237	0.0871429443	0.5850000000	9375
238	0.0900006294	0.5900000000	9414
239	0.0942854881	0.5950000000	9453
240	0.0985717773	0.6000000000	9492
